sku,name,description,shortDescription,categoryName,regularPrice,memberPrice,stockQuantity,lowStockAlert,weight,dimensions,featured,isPromotional,isQualifyingForMembership,promotionalPrice,promotionStartDate,promotionEndDate,memberOnlyUntil,earlyAccessStart,metaTitle,metaDescription
JRM-0011,Colonis Dmestica - Minuman Campuran Buah JRM Holistik,"Produk minuman berperisa mango dan mengandungi psyllium husk. Bancuh setengah scoop Colonis Dmestica dengan segelas 180ml air. Boleh diminum panas atau sejuk mengikut kesesuaian dan citarasa pengguna",Minuman mango dengan psyllium husk,JRM HOLISTIK,80,72,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0012,Kopi Demarco - Kopi Pra Campuran JRM Holistik,Kopi untuk wanita dan lelaki,Kopi premium untuk semua,JRM HOLISTIK,38,36.1,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0013,Kopi Romagella - Kopi Pra Campuran JRM Holistik,"Kopi Romagella adalah gabungan kopi premium dan extract buah strawberry yang memberikan rasa wow apabila meminumnya. Kopi Romagella mempunyai kandungan kafein yang rendah (2mg) sahaja dan sangat sesuai untuk orang yang baru hendak belajar minum kopi atau yang allergic dengan kafein. Kopi ini boleh diminum pada waktu malam dan memberikan mood dan rehat dan relaks kepada penggunanya",Kopi strawberry rendah kafein untuk relaksasi,JRM HOLISTIK,45,40.5,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0014,Putik Telaga Dara - Pencuci Bahagian Intim Wanita JRM Holistik,"Isipadu 100ml. Formulasi yang dipertingkatkan dengan penambahan ekstrak pucuk daun jambu batu dan garam magnesium. Manfaat: menghalang pertumbuhan jerawat dan bakteria, mengurangkan kesan kemerahan dan kegatalan pada kulit, mengatasi masalah berbau, melembap dan mencerahkan kulit, mengekalkan kebersihan kawasan intim wanita, menggalakan detoksifikasi dengan menarik keluar toksin dari lapisan kulit, meningkatkan hidrasi dan keremajaan kulit.",Pencuci intim wanita dengan ekstrak herba,JRM HOLISTIK,32,30.4,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0015,Minyak Jatro Phora - Minyak Urutan Badan JRM Holistik,Untuk mengurut anggota badan yang mengalami masalah ketumbuhan,Minyak urutan untuk masalah ketumbuhan,JRM HOLISTIK,150,142.5,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0016,Invy Intimate Spray - Pencuci Intim Wanita JRM Holistik,"Pencuci untuk bahagian intim wanita. Merangsang kolagen dan penjagaan bahagian intim. Bersifat antibakteria, membantu menghalang jangkitan bakteria jahat yang menyebabkan bau kurang enak, kegatalan dan keputihan. PH optimum 4.0-5.0",Pencuci intim spray antibakteria,JRM HOLISTIK,95,90.25,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0017,Skinzen Face Oil - Minyak Kecantikan Kulit Wajah JRM Holistik,"Skinzen Face Oil merangsang kolagen lebih efektif, mengaktifkan saraf limfatik, alternatif untuk masalah pigmentasi (jeragat) dan kesan hitam bawah mata, menegangkan kulit wajah yang kendur, mengurangkan kedutan penuaan dan garis-garis halus, mengecilkan pori-pori muka yang terbuka, menaikkan seri wajah dan nampak lebih muda, sesuai untuk kulit sensitif dan ekzema.",Minyak wajah untuk anti-aging dan jeragat,JRM HOLISTIK,150,142.5,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0018,Herbal Cyro Spray - Minyak Urutan Badan JRM Holistik,Sesuai sakit lutut dan gigitan serangga,Spray herba untuk sakit lutut dan gigitan,JRM HOLISTIK,39,37.05,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0019,Minyak Khelin Myrha Massage Oil,Untuk mengurut anggota badan yang mengalami masalah saraf,Minyak urutan untuk masalah saraf,JRM HOLISTIK,110,104.5,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0020,Akasia Honey Gentle Cleanser - Pembersih Wajah JRM Holistik,"Pembersih wajah, ekstrak daripada Madu Akasia dan herba mewah dari Eropah yang memberi kesan kepada perubahan kulit secara efektif tanpa merosakkan kulit wajah. Tiada Sodium Lauryl Sulfate (SLS), Tidak berbuih, Alkohol, Paraben dan Silicone yang boleh menyebabkan iritasi yang teruk pada kulit wajah. Formulasi sesuai untuk kulit sensitif dan semua jenis kulit.",Pembersih wajah madu akasia untuk kulit sensitif,JRM HOLISTIK,35,33.25,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0021,Gel Mandian Bidara - Sabun Badan Mandi Cecair Gel JRM Holistik,Sabun mandi,Gel mandian dengan ekstrak bidara,JRM HOLISTIK,55,52.25,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0022,Cenanga Oil - Minyak Urutan Badan JRM Holistik,"NOT190307175K Sapu pada bahagian perut, kepala atau bahagian badan yang sesuai. Minyak berangin untuk memberi kelegaan kepada si pemakai","Minyak berangin untuk perut, kepala dan badan",JRM HOLISTIK,17,15.3,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0023,Eu Kalypto Soap - Sabun Badan Mandi JRM Holistik,Sabun mandi,Sabun mandi dengan ekstrak eucalyptus,JRM HOLISTIK,23,21.85,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0024,Marjane Oil - Minyak Kecantikan Kulit Wajah JRM Holistik,"Organic Antioxidant Face Oil, memberi kesan yang terbaik untuk kesihatan kulit wajah. Kombinasi ekstrak minyak kekacang dan herba eksklusif menjadikan kulit lembap, tegang, halus, gebu, dan melindungi wajah daripada kesan jeragat yang mengurangkan seri wajah. Mengandungi super antioksidan untuk melindungi kulit daripada kerosakan matahari dan radikal bebas penyebab utama penuaan dan kedutan dan jeragat",Minyak wajah organik dengan antioksidan,JRM HOLISTIK,50,47.5,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0025,JRM Zinnia Magenta,"Diformulasikan dari gabungan herba antarabangsa seperti Tea Tree, Pokok akar manis, dan Bilberry. Ekstrak herba yang sangat berkesan membantu membuang sel kulit mati, memberikan kelembapan kulit wajah, menegangkan kulit, melambatkan proses penuaan dan menghilangkan kesan hitam akibat jeragat. Zinnia Magenta ialah gel pencuci muka herba yang dirumus khas untuk membersih, melembap dan menegangkan kulit wajah secara semula jadi. Kelebihan: mengecilkan liang pori dan membuang sel kulit mati, menegangkan kulit dan mengurangkan kedutan, memudarkan parut dan jeragat secara beransur-ansur, mengimbangi rembesan minyak dan mengawal sebum berlebihan, merangsang pertumbuhan sel kulit baru yang sihat dan segar, sesuai untuk semua jenis kulit.",Gel pencuci muka herba untuk semua jenis kulit,JRM HOLISTIK,35,31.5,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0026,Serum & Cream Bio Miracle Action - Pakej Penjagaan Kulit Wajah JRM Holistik,"Bio Miracle Action Serum merangsang penghasilan kolagen untuk melambatkan proses penuaan. AHA membantu menyingkirkan sel kulit mati dan toksin. Meratakan tona, mengurangkan kekusaman dan mencerahkan kulit. Bio Miracle Action Cream merangsang kolagen dan elastin kulit. Mengurangkan kedutan halus dan tanda-tanda penuaan. Membantu mengurangkan parut pigmentasi, jeragat dan jerawat.",Pakej serum dan krim anti-aging lengkap,JRM HOLISTIK,88,83.6,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0027,Vinifera cc cover - Krim Kecantikan Perlindungan UV SPF48 JRM Holistik,"Vinifera Blemish CC Cover ialah produk solekan asas yang berfungsi sebagai foundation, CC cover dan sunblock dalam satu formula. Ia dirumus khas dengan herba premium untuk memberikan perlindungan dan rawatan kulit secara serentak. Kelebihan utama: SPF48+ melindungi kulit daripada sinaran UVA dan UVB, bertindak sebagai Color Corrector (CC) untuk meratakan tona kulit, menutup cela, jeragat, lingkaran gelap dan parut jerawat, melembapkan dan menegangkan kulit dengan bahan anti-penuaan, sesuai untuk semua jenis dan warna kulit, memberikan kemasan licin dan elegan tanpa menyumbat pori.",CC Cover SPF48+ dengan herba premium,JRM HOLISTIK,65,58.5,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0028,Skinzen Face Oil - Minyak Kecantikan Muka Kulit Wajah,Minyak muka untuk memberikan kelembapan pada kulit wajah dan mengecilkan liang pori,Minyak wajah untuk kelembapan dan mengecilkan pori,JRM HOLISTIK,150,142.5,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0029,JRM Silky Sunscreen,Sesuai untuk golongan lelaki dan wanita,Sunscreen sutera untuk semua jenis kulit,JRM HOLISTIK,43,40.85,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0030,JRM Javanica Oil,"Losyen panas yang boleh disapukan di bahagian badan untuk mendapatkan kesan yang sepatutnya. Mengandungi susu kambing, buah pala, daun melong, lengkuas, serai dan oren pahit yang meresap ke dalam kulit. Rasa panas yang bertahan lama dan elakkan penggunaan pada kulit yang sensitif","Losyen panas dengan susu kambing, buah pala dan herba",JRM HOLISTIK,49,46.55,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0031,JRM Rose Water,"Ekstrak pati bunga ros (Rosa Centifolia) dan air mata air semulajadi memberikan manfaat terhadap kecantikan kulit dan rambut. Kaya dengan vitamin A, E dan C yang membantu memberi kelembapan, menegangkan, meremajakan kulit dan kesegaran pada wajah. Ekstrak bunga ros bersifat antiseptik, anti-bakteria dan anti-inflamasi membantu mengatasi masalah kulit seperti jerawat, merah pada kulit, kulit kusam, kering menggelupas, kedutan dan pigmentasi","Air mawar dengan vitamin A, E dan C",JRM HOLISTIK,38,36.1,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0032,Le'merra Face Scrub - Pencuci Skrub Kulit Wajah JRM Holistik,"Pencuci skrub wajah untuk kecantikan dan kesihatan kulit untuk menyingkirkan sel kulit mati, membersihkan liang pori-pori dan merangsang pertumbuhan sel kulit baru dan sihat. Partikel skrub organik daripada walnut, tidak menyumbatkan pori-pori dan tidak menyebabkan kulit wajah kering serta iritasi. Kulit menjadi sangat bersih, lembut dan lembap",Skrub wajah walnut organik untuk kulit bersih,JRM HOLISTIK,39,37.05,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0033,Mellia Water - Pembersih Wajah/Pembasmi Make Up JRM Holistik,"Pelbagai fungsi di dalam satu produk - membuang sisa make up waterproof, pembersihan wajah, melembapkan, melembutkan. Mengandungi ekstrak Aloe Vera, Ekstrak Green tea, ekstrak bunga sakura, ekstrak bunga Ros dan Castor Oil","Pembersih wajah dan makeup remover dengan Aloe Vera",JRM HOLISTIK,30,28.5,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0034,Bio10 Herbs Botanic Hair Treatment Oil (minyak Rambut),"Minyak rambut yang diperbuat daripada 12 jenis campuran ramuan semulajadi. Tinggi vitamin dan nutrient. Mewangikan kulit kepala dan rambut. Tekstur minyak mudah menyerap ke dalam kulit kepala dan rambut. Tidak menyebabkan pori-pori tersumbat. Manfaat Bio10 Herbs: mengurangkan keguguran rambut, melebatkan rambut, merawat hujung rambut supaya tidak pecah dan kering, rambut lebih beralun dan lembut, membekalkan nutrisi kepada rambut, merangsang keratin rambut untuk pertumbuhan anak rambut yang sihat, menguatkan akar rambut","Minyak rawatan rambut 12 herba untuk keguguran rambut",JRM HOLISTIK,60,57,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0035,Serum Bio Miracle Action - Serum Penjagaan Kulit Wajah JRM Holistik,Serum untuk mencantikkan wajah,Serum anti-aging untuk kecantikan wajah,JRM HOLISTIK,39,37.05,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0036,Cream Bio Miracle Action - Krim Penjagaan Kulit Wajah JRM Holistik,Krim kecantikan wajah,Krim anti-aging untuk kecantikan wajah,JRM HOLISTIK,49,46.55,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
JRM-0037,Minyak Floral Aromatherapy - Minyak Urutan Badan JRM Holistik,Untuk mengurut muka dan anggota badan yang mengalami masalah kulit,Minyak aromatherapy untuk masalah kulit,JRM HOLISTIK,70,66.5,100,10,0.5,10x10x5,TRUE,FALSE,TRUE,,,,,,,
